,Condition,Mouse,Compound,value,Tissue
271,Sedentary,2,threonine,10.670423779062101,heart
272,Exercise,3,threonine,11.542685920321695,heart
273,Exercise,5,threonine,12.04590531453045,heart
274,Sedentary,6,threonine,12.349417183610775,heart
275,Exercise,7,threonine,12.759654937705072,heart
276,Sedentary,8,threonine,13.491860650061374,heart
277,Exercise,9,threonine,11.864932777278119,heart
278,Sedentary,10,threonine,12.140288492916614,heart
279,Exercise,11,threonine,13.615723124568952,heart
280,Sedentary,12,threonine,13.659366888843087,heart
281,Exercise,13,threonine,13.9924395372521,heart
282,Sedentary,14,threonine,12.665496491840909,heart
283,Exercise,15,threonine,13.076200820543255,heart
284,Sedentary,16,threonine,13.865859745109265,heart
285,Exercise,1,a-ketoglutarate,9.219309002617502,heart
286,Sedentary,2,a-ketoglutarate,8.587855002215221,heart
287,Exercise,3,a-ketoglutarate,9.591558890949115,heart
288,Exercise,5,a-ketoglutarate,9.23561750820622,heart
289,Sedentary,6,a-ketoglutarate,9.067611140144672,heart
290,Exercise,7,a-ketoglutarate,9.442416290629117,heart
291,Sedentary,8,a-ketoglutarate,9.03294083236979,heart
292,Exercise,9,a-ketoglutarate,9.019365359679059,heart
293,Sedentary,10,a-ketoglutarate,8.76185198684647,heart
294,Exercise,11,a-ketoglutarate,9.281801741663552,heart
295,Sedentary,12,a-ketoglutarate,9.204882979060885,heart
296,Exercise,13,a-ketoglutarate,9.449731113074172,heart
297,Sedentary,14,a-ketoglutarate,9.464808329491301,heart
298,Exercise,15,a-ketoglutarate,9.546393614012441,heart
299,Sedentary,16,a-ketoglutarate,8.56555317616695,heart
300,Exercise,1,arginine,12.027427850923122,heart
301,Sedentary,2,arginine,11.675065858254591,heart
302,Exercise,3,arginine,12.932672195555961,heart
303,Exercise,5,arginine,12.906183491806889,heart
304,Sedentary,6,arginine,12.572148644121164,heart
305,Exercise,7,arginine,13.143785454486839,heart
306,Sedentary,8,arginine,13.303642326632904,heart
307,Exercise,9,arginine,11.873460091299899,heart
308,Sedentary,10,arginine,12.320831684131862,heart
309,Exercise,11,arginine,13.244164053020436,heart
310,Sedentary,12,arginine,13.438420371179674,heart
311,Exercise,13,arginine,13.474834910482613,heart
312,Sedentary,14,arginine,12.45395901826095,heart
313,Exercise,15,arginine,13.37423866264256,heart
314,Sedentary,16,arginine,13.742439816904687,heart
315,Exercise,1,citrate/isocitrate,20.008815069792096,heart
316,Sedentary,2,citrate/isocitrate,18.064248909962625,heart
317,Exercise,3,citrate/isocitrate,21.720255182311988,heart
318,Exercise,5,citrate/isocitrate,20.45210862625535,heart
319,Sedentary,6,citrate/isocitrate,21.66265804470796,heart
320,Exercise,7,citrate/isocitrate,21.796338314083116,heart
321,Sedentary,8,citrate/isocitrate,23.95127381714753,heart
322,Exercise,9,citrate/isocitrate,19.207637598969367,heart
323,Sedentary,10,citrate/isocitrate,17.450694718648823,heart
324,Exercise,11,citrate/isocitrate,21.306917690209808,heart
325,Sedentary,12,citrate/isocitrate,20.95949700585612,heart
326,Exercise,13,citrate/isocitrate,24.223822450254737,heart
327,Sedentary,14,citrate/isocitrate,21.539381417849864,heart
328,Exercise,15,citrate/isocitrate,20.785024745521703,heart
329,Sedentary,16,citrate/isocitrate,17.776014118886387,heart
330,Exercise,1,2-hydroxy-isovalerate,12.74339984059362,heart
331,Sedentary,2,2-hydroxy-isovalerate,13.105563067983628,heart
332,Exercise,3,2-hydroxy-isovalerate,12.329905314947375,heart
333,Exercise,5,2-hydroxy-isovalerate,12.723385757705415,heart
334,Sedentary,6,2-hydroxy-isovalerate,13.197556622317494,heart
335,Exercise,7,2-hydroxy-isovalerate,13.496791231638557,heart
336,Sedentary,8,2-hydroxy-isovalerate,13.393764022606389,heart
337,Exercise,9,2-hydroxy-isovalerate,13.429495227739716,heart
338,Sedentary,10,2-hydroxy-isovalerate,11.287794894927913,heart
339,Exercise,11,2-hydroxy-isovalerate,13.176504269215904,heart
340,Sedentary,12,2-hydroxy-isovalerate,12.04467617895572,heart
341,Exercise,13,2-hydroxy-isovalerate,13.959092293321252,heart
342,Sedentary,14,2-hydroxy-isovalerate,11.96793693299493,heart
343,Exercise,15,2-hydroxy-isovalerate,12.140603045345301,heart
344,Sedentary,16,2-hydroxy-isovalerate,12.567194842398072,heart
345,Exercise,1,2-keto-isovalerate,9.715039906062053,heart
346,Sedentary,2,2-keto-isovalerate,8.574201149116192,heart
347,Exercise,3,2-keto-isovalerate,9.966870532353497,heart
348,Exercise,5,2-keto-isovalerate,10.625159305680604,heart
349,Sedentary,6,2-keto-isovalerate,9.20166312420943,heart
350,Exercise,7,2-keto-isovalerate,10.928454259591405,heart
351,Sedentary,8,2-keto-isovalerate,9.218611230855265,heart
352,Exercise,9,2-keto-isovalerate,10.809732747009786,heart
353,Sedentary,10,2-keto-isovalerate,8.850446754618034,heart
354,Exercise,11,2-keto-isovalerate,9.891366518966914,heart
355,Sedentary,12,2-keto-isovalerate,9.79961196758241,heart
356,Exercise,13,2-keto-isovalerate,11.735628990695982,heart
357,Sedentary,14,2-keto-isovalerate,9.854015396177697,heart
358,Exercise,15,2-keto-isovalerate,9.765043345175222,heart
359,Sedentary,16,2-keto-isovalerate,8.912187066048629,heart
360,Exercise,1,2-keto-isocaproate,12.368245701794036,heart
361,Sedentary,2,2-keto-isocaproate,10.022208060470836,heart
362,Exercise,3,2-keto-isocaproate,12.209323397868522,heart
363,Exercise,5,2-keto-isocaproate,12.680717129898902,heart
364,Sedentary,6,2-keto-isocaproate,11.579662420536044,heart
365,Exercise,7,2-keto-isocaproate,13.279437618016972,heart
366,Sedentary,8,2-keto-isocaproate,11.493057224323238,heart
367,Exercise,9,2-keto-isocaproate,12.980131953130403,heart
368,Sedentary,10,2-keto-isocaproate,10.682332212214666,heart
369,Exercise,11,2-keto-isocaproate,12.709092011821443,heart
370,Sedentary,12,2-keto-isocaproate,12.544199645048707,heart
371,Exercise,13,2-keto-isocaproate,14.814819670282041,heart
372,Sedentary,14,2-keto-isocaproate,12.749674402174296,heart
373,Exercise,15,2-keto-isocaproate,12.914517238054795,heart
374,Sedentary,16,2-keto-isocaproate,10.72716469572209,heart
420,Exercise,1,valine,12.703738948798257,heart
421,Sedentary,2,valine,12.287911969701925,heart
422,Exercise,3,valine,13.557411399335209,heart
423,Exercise,5,valine,13.029293133057058,heart
424,Sedentary,6,valine,13.322341365856852,heart
425,Exercise,7,valine,13.606928643560796,heart
426,Sedentary,8,valine,14.459006633684899,heart
427,Exercise,9,valine,13.6025081613874,heart
428,Sedentary,10,valine,12.288222190497008,heart
429,Exercise,11,valine,13.67149906942588,heart
430,Sedentary,12,valine,13.330185815719062,heart
431,Exercise,13,valine,16.37437977721524,heart
432,Sedentary,14,valine,13.337248119734554,heart
433,Exercise,15,valine,13.102530224080505,heart
434,Sedentary,16,valine,12.881635914152561,heart
450,Exercise,1,leucine,13.96573930690085,heart
451,Sedentary,2,leucine,13.698632513466128,heart
452,Exercise,3,leucine,14.91173593690591,heart
453,Exercise,5,leucine,14.306110545298814,heart
454,Sedentary,6,leucine,14.739575527336314,heart
455,Exercise,7,leucine,14.722181166290712,heart
456,Sedentary,8,leucine,15.780308446024598,heart
457,Exercise,9,leucine,14.702660365808546,heart
458,Sedentary,10,leucine,13.771021244801688,heart
459,Exercise,11,leucine,15.17198584363727,heart
460,Sedentary,12,leucine,14.694679010021684,heart
461,Exercise,13,leucine,18.17571065609867,heart
462,Sedentary,14,leucine,15.143263068319934,heart
463,Exercise,15,leucine,14.78626478092949,heart
464,Sedentary,16,leucine,14.21560590185131,heart
465,Exercise,1,isoleucine,12.138753138912577,heart
466,Sedentary,2,isoleucine,11.930165974788038,heart
467,Exercise,3,isoleucine,12.786730030408789,heart
468,Exercise,5,isoleucine,12.418748445139274,heart
469,Sedentary,6,isoleucine,12.745721199571506,heart
470,Exercise,7,isoleucine,12.682764847794658,heart
471,Sedentary,8,isoleucine,13.073631529244786,heart
472,Exercise,9,isoleucine,12.555867954153108,heart
473,Sedentary,10,isoleucine,11.803161042672446,heart
474,Exercise,11,isoleucine,12.93758870171314,heart
475,Sedentary,12,isoleucine,12.591257300821285,heart
476,Exercise,13,isoleucine,14.48599440493425,heart
477,Sedentary,14,isoleucine,12.777291717292902,heart
478,Exercise,15,isoleucine,12.481368329678414,heart
