,Condition,Mouse,Compound,value,Tissue
84,Exercise,1,pyruvate,11.713844401583346,kidney
85,Sedentary,2,pyruvate,12.263982566356018,kidney
86,Exercise,3,pyruvate,11.58000054659226,kidney
87,Exercise,5,pyruvate,11.087978248253318,kidney
88,Sedentary,6,pyruvate,11.876633281551316,kidney
89,Exercise,7,pyruvate,11.87886094024131,kidney
90,Sedentary,8,pyruvate,10.809998489212798,kidney
91,Exercise,9,pyruvate,11.794199581974803,kidney
92,Sedentary,10,pyruvate,12.482709826200631,kidney
93,Exercise,11,pyruvate,11.518610150351643,kidney
94,Sedentary,12,pyruvate,10.961571797172349,kidney
95,Exercise,13,pyruvate,11.57437060125252,kidney
96,Exercise,15,pyruvate,11.709307563311736,kidney
97,Sedentary,16,pyruvate,12.659457097083946,kidney
98,Exercise,1,lactate,40.476200508890706,kidney
99,Sedentary,2,lactate,37.83948940662204,kidney
100,Exercise,3,lactate,29.982709029243455,kidney
101,Exercise,5,lactate,33.17572424161721,kidney
102,Sedentary,6,lactate,36.28192072909424,kidney
103,Exercise,7,lactate,37.212165391381205,kidney
104,Sedentary,8,lactate,28.678266187004915,kidney
105,Exercise,9,lactate,39.99037392869982,kidney
106,Sedentary,10,lactate,35.59027333237832,kidney
107,Exercise,11,lactate,35.866403477161754,kidney
108,Sedentary,12,lactate,30.789102203585028,kidney
109,Exercise,13,lactate,33.49480415814821,kidney
110,Exercise,15,lactate,34.469180811091874,kidney
111,Sedentary,16,lactate,36.20808245544919,kidney
210,Exercise,1,succinate,23.376549407551337,kidney
211,Sedentary,2,succinate,27.431158643096833,kidney
212,Exercise,3,succinate,23.43636107843625,kidney
213,Exercise,5,succinate,21.71037666490897,kidney
214,Sedentary,6,succinate,22.75507948130694,kidney
215,Exercise,7,succinate,22.621313253619054,kidney
216,Sedentary,8,succinate,25.44108349968487,kidney
217,Exercise,9,succinate,28.463608237292892,kidney
218,Sedentary,10,succinate,26.697254556761575,kidney
219,Exercise,11,succinate,24.601412354564197,kidney
220,Sedentary,12,succinate,22.261620407513863,kidney
221,Exercise,13,succinate,27.376832107127953,kidney
222,Exercise,15,succinate,25.35032720830911,kidney
223,Sedentary,16,succinate,24.970854891138714,kidney
224,Exercise,1,malate,28.39035854475629,kidney
225,Sedentary,2,malate,19.374044625133603,kidney
226,Exercise,3,malate,22.64730889886966,kidney
227,Exercise,5,malate,25.78782496361633,kidney
228,Sedentary,6,malate,25.779894366118622,kidney
229,Exercise,7,malate,27.907865520493623,kidney
230,Sedentary,8,malate,21.92251715098729,kidney
231,Exercise,9,malate,18.466641877819065,kidney
232,Sedentary,10,malate,23.79204034466255,kidney
233,Exercise,11,malate,25.61497546565359,kidney
234,Sedentary,12,malate,22.503387087828415,kidney
235,Exercise,13,malate,24.28200478780677,kidney
236,Exercise,15,malate,24.352668350644883,kidney
237,Sedentary,16,malate,24.986389416614056,kidney
238,Exercise,1,aspartate,18.921425523951683,kidney
239,Sedentary,2,aspartate,18.750795637355782,kidney
240,Exercise,3,aspartate,15.931973980109792,kidney
241,Exercise,5,aspartate,18.040562859297143,kidney
242,Sedentary,6,aspartate,17.433674286613606,kidney
243,Exercise,7,aspartate,15.3020372728951,kidney
244,Sedentary,8,aspartate,16.98868935121325,kidney
245,Exercise,9,aspartate,19.77667354607542,kidney
246,Sedentary,10,aspartate,19.1444036934957,kidney
247,Exercise,11,aspartate,19.55493720207766,kidney
248,Sedentary,12,aspartate,18.394439345936572,kidney
249,Exercise,13,aspartate,16.43187306544651,kidney
250,Exercise,15,aspartate,18.018269537749195,kidney
251,Sedentary,16,aspartate,18.44599640511327,kidney
252,Exercise,1,threonine,12.08383845883537,kidney
253,Sedentary,2,threonine,11.575118691421189,kidney
254,Exercise,3,threonine,11.13101823345893,kidney
255,Exercise,5,threonine,11.173288745858583,kidney
256,Sedentary,6,threonine,11.305868632952478,kidney
257,Exercise,7,threonine,11.527527772651332,kidney
258,Sedentary,8,threonine,11.611478556746114,kidney
259,Exercise,9,threonine,11.728532273106177,kidney
260,Sedentary,10,threonine,12.096170214316981,kidney
261,Exercise,11,threonine,12.331006689049682,kidney
262,Sedentary,12,threonine,11.590261208258996,kidney
263,Exercise,13,threonine,12.232173114225931,kidney
264,Exercise,15,threonine,11.67932454273561,kidney
265,Sedentary,16,threonine,11.647234636137457,kidney
266,Exercise,1,a-ketoglutarate,8.65806540745723,kidney
267,Sedentary,2,a-ketoglutarate,8.764599256948324,kidney
268,Exercise,3,a-ketoglutarate,8.741120890098454,kidney
269,Exercise,5,a-ketoglutarate,8.70222142145939,kidney
270,Sedentary,6,a-ketoglutarate,8.638227366711087,kidney
271,Exercise,7,a-ketoglutarate,9.394994514529357,kidney
272,Sedentary,8,a-ketoglutarate,8.761061863915254,kidney
273,Exercise,9,a-ketoglutarate,8.754631314543735,kidney
274,Sedentary,10,a-ketoglutarate,9.172333978337376,kidney
275,Exercise,11,a-ketoglutarate,8.854416764443277,kidney
276,Sedentary,12,a-ketoglutarate,8.691355253077008,kidney
277,Exercise,13,a-ketoglutarate,8.977716027894003,kidney
278,Exercise,15,a-ketoglutarate,9.069021166284639,kidney
279,Sedentary,16,a-ketoglutarate,9.164697870043078,kidney
280,Exercise,1,arginine,10.760202508362028,kidney
281,Sedentary,2,arginine,10.638343979259226,kidney
282,Exercise,3,arginine,10.194548728670558,kidney
283,Exercise,5,arginine,10.364748034166572,kidney
284,Sedentary,6,arginine,10.02732468821023,kidney
285,Exercise,7,arginine,10.598760530099836,kidney
286,Sedentary,8,arginine,10.563294075213456,kidney
287,Exercise,9,arginine,10.893127499840721,kidney
288,Sedentary,10,arginine,10.60738856082118,kidney
289,Exercise,11,arginine,10.91254530496265,kidney
290,Sedentary,12,arginine,10.423000332380383,kidney
291,Exercise,13,arginine,11.031623033527447,kidney
292,Exercise,15,arginine,10.98633460538238,kidney
293,Sedentary,16,arginine,10.905903798557897,kidney
294,Exercise,1,citrate/isocitrate,18.60518628573329,kidney
295,Sedentary,2,citrate/isocitrate,17.81861969929796,kidney
296,Exercise,3,citrate/isocitrate,18.271798143703442,kidney
297,Exercise,5,citrate/isocitrate,18.37688547921105,kidney
298,Sedentary,6,citrate/isocitrate,20.4918936312874,kidney
299,Exercise,7,citrate/isocitrate,24.833911391047327,kidney
300,Sedentary,8,citrate/isocitrate,22.39822626674147,kidney
301,Exercise,9,citrate/isocitrate,18.32178289652434,kidney
302,Sedentary,10,citrate/isocitrate,22.249580911759267,kidney
303,Exercise,11,citrate/isocitrate,20.220192468057565,kidney
304,Sedentary,12,citrate/isocitrate,20.161944015450484,kidney
305,Exercise,13,citrate/isocitrate,22.765008030505843,kidney
306,Exercise,15,citrate/isocitrate,20.470113337128847,kidney
307,Sedentary,16,citrate/isocitrate,19.356459957541066,kidney
308,Exercise,1,2-hydroxy-isovalerate,11.954880104997983,kidney
309,Sedentary,2,2-hydroxy-isovalerate,11.830037683648754,kidney
310,Exercise,3,2-hydroxy-isovalerate,11.37775731286558,kidney
311,Exercise,5,2-hydroxy-isovalerate,10.683027827860684,kidney
312,Sedentary,6,2-hydroxy-isovalerate,11.31088141062722,kidney
313,Exercise,7,2-hydroxy-isovalerate,12.869971094113284,kidney
314,Sedentary,8,2-hydroxy-isovalerate,13.421366679375407,kidney
315,Exercise,9,2-hydroxy-isovalerate,11.661211062900424,kidney
316,Sedentary,10,2-hydroxy-isovalerate,13.238515994864072,kidney
317,Exercise,11,2-hydroxy-isovalerate,12.6090991049841,kidney
318,Sedentary,12,2-hydroxy-isovalerate,12.152240259637875,kidney
319,Exercise,13,2-hydroxy-isovalerate,12.125899408954801,kidney
320,Exercise,15,2-hydroxy-isovalerate,12.454616269118226,kidney
321,Sedentary,16,2-hydroxy-isovalerate,11.874106563789205,kidney
322,Exercise,1,2-keto-isovalerate,9.181104612950486,kidney
323,Sedentary,2,2-keto-isovalerate,9.470958899311043,kidney
324,Exercise,3,2-keto-isovalerate,8.718032846815863,kidney
325,Exercise,5,2-keto-isovalerate,9.1566673952076,kidney
326,Sedentary,6,2-keto-isovalerate,8.907564612462497,kidney
327,Exercise,7,2-keto-isovalerate,10.025520923186578,kidney
328,Sedentary,8,2-keto-isovalerate,9.495317403029846,kidney
329,Exercise,9,2-keto-isovalerate,9.848682374985636,kidney
330,Sedentary,10,2-keto-isovalerate,9.760194601740594,kidney
331,Exercise,11,2-keto-isovalerate,9.360965764940211,kidney
332,Sedentary,12,2-keto-isovalerate,8.80275637710032,kidney
333,Exercise,13,2-keto-isovalerate,10.68432563462493,kidney
334,Exercise,15,2-keto-isovalerate,9.795276104853894,kidney
335,Sedentary,16,2-keto-isovalerate,9.74492442267226,kidney
336,Exercise,1,2-keto-isocaproate,11.111503418495817,kidney
337,Sedentary,2,2-keto-isocaproate,10.275902169796328,kidney
338,Exercise,3,2-keto-isocaproate,10.305170824173917,kidney
339,Exercise,5,2-keto-isocaproate,10.410711701271298,kidney
340,Sedentary,6,2-keto-isocaproate,11.29950557482173,kidney
341,Exercise,7,2-keto-isocaproate,12.297777077288542,kidney
342,Sedentary,8,2-keto-isocaproate,11.036896074523101,kidney
343,Exercise,9,2-keto-isocaproate,11.28704800270738,kidney
344,Sedentary,10,2-keto-isocaproate,11.63234242841054,kidney
345,Exercise,11,2-keto-isocaproate,11.84147448201912,kidney
346,Sedentary,12,2-keto-isocaproate,10.551050574141971,kidney
347,Exercise,13,2-keto-isocaproate,12.930000289295423,kidney
348,Exercise,15,2-keto-isocaproate,11.60689793849182,kidney
349,Sedentary,16,2-keto-isocaproate,11.725232151823208,kidney
392,Exercise,1,valine,14.793814030129324,kidney
393,Sedentary,2,valine,14.202938505434712,kidney
394,Exercise,3,valine,13.80604501642787,kidney
395,Exercise,5,valine,13.760373986265542,kidney
396,Sedentary,6,valine,14.039456493541605,kidney
397,Exercise,7,valine,14.955952990246251,kidney
398,Sedentary,8,valine,15.345004739542661,kidney
399,Exercise,9,valine,14.173789807981738,kidney
400,Sedentary,10,valine,14.524991350786962,kidney
401,Exercise,11,valine,14.747737863857052,kidney
402,Sedentary,12,valine,13.95679425441531,kidney
403,Exercise,13,valine,17.005849803449497,kidney
404,Exercise,15,valine,14.145032519861608,kidney
405,Sedentary,16,valine,13.988024364242285,kidney
420,Exercise,1,leucine,16.27991159389107,kidney
421,Sedentary,2,leucine,15.580049727565454,kidney
422,Exercise,3,leucine,15.208669038237716,kidney
423,Exercise,5,leucine,14.990892351565076,kidney
424,Sedentary,6,leucine,15.399386634832682,kidney
425,Exercise,7,leucine,16.247737175935644,kidney
426,Sedentary,8,leucine,16.70130622938984,kidney
427,Exercise,9,leucine,15.886048249808612,kidney
428,Sedentary,10,leucine,15.98430117531689,kidney
429,Exercise,11,leucine,16.60294449197524,kidney
430,Sedentary,12,leucine,15.2996158111113,kidney
431,Exercise,13,leucine,19.302903435112505,kidney
432,Exercise,15,leucine,15.763500526599334,kidney
433,Sedentary,16,leucine,15.478625396787566,kidney
434,Exercise,1,isoleucine,13.40132512764525,kidney
435,Sedentary,2,isoleucine,12.867882729196383,kidney
436,Exercise,3,isoleucine,12.577585477842296,kidney
437,Exercise,5,isoleucine,12.530496291643157,kidney
438,Sedentary,6,isoleucine,12.651720911500291,kidney
439,Exercise,7,isoleucine,13.416660864279972,kidney
440,Sedentary,8,isoleucine,13.532067555016633,kidney
441,Exercise,9,isoleucine,13.001041856871137,kidney
442,Sedentary,10,isoleucine,13.062873065446833,kidney
443,Exercise,11,isoleucine,13.529083361672246,kidney
444,Sedentary,12,isoleucine,12.496196222277742,kidney
445,Exercise,13,isoleucine,14.73119285825366,kidney
446,Exercise,15,isoleucine,12.822919986102793,kidney
447,Sedentary,16,isoleucine,12.696324135134995,kidney
462,Exercise,1,lysine,10.37750251113872,kidney
463,Sedentary,2,lysine,10.011854726933143,kidney
464,Exercise,3,lysine,9.617852235893993,kidney
465,Exercise,5,lysine,9.735376588937319,kidney
466,Sedentary,6,lysine,9.704008594025268,kidney
467,Exercise,7,lysine,10.219994822346008,kidney
468,Sedentary,8,lysine,10.17087863429251,kidney
469,Exercise,9,lysine,10.058534389008235,kidney
470,Sedentary,10,lysine,10.165218410916948,kidney
471,Exercise,11,lysine,10.179632946879813,kidney
472,Sedentary,12,lysine,9.992322064620996,kidney
473,Exercise,13,lysine,10.72016155049187,kidney
474,Exercise,15,lysine,10.178834067517082,kidney
475,Sedentary,16,lysine,10.1213544346618,kidney
476,Exercise,1,methionine,10.42893568418506,kidney
477,Sedentary,2,methionine,9.840337852035566,kidney
478,Exercise,3,methionine,9.62926475883314,kidney
479,Exercise,5,methionine,9.669271205988224,kidney
480,Sedentary,6,methionine,9.849976214580987,kidney
481,Exercise,7,methionine,10.189164266989346,kidney
482,Sedentary,8,methionine,9.935750462539845,kidney
483,Exercise,9,methionine,9.942796298480715,kidney
484,Sedentary,10,methionine,10.234429973433503,kidney
485,Exercise,11,methionine,10.283656701810903,kidney
486,Sedentary,12,methionine,9.859113497312215,kidney
487,Exercise,13,methionine,10.47268973211275,kidney
488,Exercise,15,methionine,9.842163096362718,kidney
489,Sedentary,16,methionine,9.827610349496096,kidney
490,Exercise,1,phenylalanine,14.762108714050495,kidney
491,Sedentary,2,phenylalanine,14.02003293201258,kidney
492,Exercise,3,phenylalanine,13.521943161733077,kidney
493,Exercise,5,phenylalanine,13.460687228820541,kidney
494,Sedentary,6,phenylalanine,13.971581191498943,kidney
495,Exercise,7,phenylalanine,14.614723282596945,kidney
496,Sedentary,8,phenylalanine,14.589505793655997,kidney
497,Exercise,9,phenylalanine,13.730485363439918,kidney
498,Sedentary,10,phenylalanine,14.33506881207767,kidney
499,Exercise,11,phenylalanine,14.684751798871575,kidney
500,Sedentary,12,phenylalanine,13.589173849190638,kidney
501,Exercise,13,phenylalanine,15.60100268006227,kidney
502,Exercise,15,phenylalanine,13.93824607687407,kidney
503,Sedentary,16,phenylalanine,13.4531139056955,kidney
504,Exercise,1,tyrosine,13.56605211086846,kidney
505,Sedentary,2,tyrosine,12.42413526245311,kidney
506,Exercise,3,tyrosine,12.159305576676251,kidney
507,Exercise,5,tyrosine,12.215099787551772,kidney
508,Sedentary,6,tyrosine,11.959895171234173,kidney
509,Exercise,7,tyrosine,12.901408508956033,kidney
510,Sedentary,8,tyrosine,12.283469078696632,kidney
511,Exercise,9,tyrosine,12.25019675909144,kidney
512,Sedentary,10,tyrosine,12.356546944733756,kidney
513,Exercise,11,tyrosine,12.651434816202142,kidney
514,Sedentary,12,tyrosine,12.052269032058458,kidney
515,Exercise,13,tyrosine,13.577107878070466,kidney
516,Exercise,15,tyrosine,12.153872184133002,kidney
517,Sedentary,16,tyrosine,12.065503710625821,kidney
518,Exercise,1,tryptophan,15.354695257897898,kidney
519,Sedentary,2,tryptophan,14.483198429480296,kidney
520,Exercise,3,tryptophan,13.945529445566837,kidney
521,Exercise,5,tryptophan,14.20885272887444,kidney
522,Sedentary,6,tryptophan,14.251226168526191,kidney
523,Exercise,7,tryptophan,14.530170715308765,kidney
524,Sedentary,8,tryptophan,13.911981247114555,kidney
525,Exercise,9,tryptophan,14.309029527729733,kidney
526,Sedentary,10,tryptophan,14.543511277444457,kidney
527,Exercise,11,tryptophan,15.083624170425928,kidney
528,Sedentary,12,tryptophan,13.898314080602612,kidney
529,Exercise,13,tryptophan,14.88089062934084,kidney
530,Exercise,15,tryptophan,14.346988071736998,kidney
531,Sedentary,16,tryptophan,14.585019762256374,kidney
532,Exercise,1,glutamine,16.675337273364576,kidney
533,Sedentary,2,glutamine,16.561164016066844,kidney
534,Exercise,3,glutamine,16.431444367319433,kidney
535,Exercise,5,glutamine,16.306012609571553,kidney
536,Sedentary,6,glutamine,16.76652387908302,kidney
537,Exercise,7,glutamine,17.335245753910385,kidney
538,Sedentary,8,glutamine,16.20901049751836,kidney
539,Exercise,9,glutamine,17.347870891308474,kidney
540,Sedentary,10,glutamine,17.492114725376055,kidney
541,Exercise,11,glutamine,18.336558685944766,kidney
542,Sedentary,12,glutamine,16.900063778574555,kidney
543,Exercise,13,glutamine,16.278255907592957,kidney
544,Exercise,15,glutamine,18.632888066412416,kidney
545,Sedentary,16,glutamine,20.068655008747406,kidney
546,Exercise,1,serine,11.319351222653284,kidney
547,Sedentary,2,serine,11.018919016938053,kidney
548,Exercise,3,serine,10.482672464153678,kidney
549,Exercise,5,serine,10.53343372368781,kidney
550,Sedentary,6,serine,10.445140167396785,kidney
551,Exercise,7,serine,10.999655968968334,kidney
552,Sedentary,8,serine,10.864965466479681,kidney
553,Exercise,9,serine,11.246901656815405,kidney
554,Sedentary,10,serine,11.364000757004899,kidney
555,Exercise,11,serine,11.23990366729211,kidney
556,Sedentary,12,serine,11.103976831801527,kidney
557,Exercise,13,serine,11.209230762248339,kidney
558,Exercise,15,serine,11.241169655070484,kidney
559,Sedentary,16,serine,11.096066230845047,kidney
560,Exercise,1,glycine,13.442277923623184,kidney
561,Sedentary,2,glycine,13.403699395305898,kidney
562,Exercise,3,glycine,13.280762246622427,kidney
563,Exercise,5,glycine,13.0626557449921,kidney
564,Sedentary,6,glycine,13.14665560157028,kidney
565,Exercise,7,glycine,12.33344911476228,kidney
566,Sedentary,8,glycine,12.47416200686737,kidney
567,Exercise,9,glycine,14.249865726630716,kidney
568,Sedentary,10,glycine,13.538430013595312,kidney
569,Exercise,11,glycine,14.041784736908916,kidney
570,Sedentary,12,glycine,13.35777868080098,kidney
571,Exercise,13,glycine,13.129477018518262,kidney
572,Exercise,15,glycine,13.632590815519444,kidney
573,Sedentary,16,glycine,15.218847615806899,kidney
574,Exercise,1,proline,13.154760031992726,kidney
575,Sedentary,2,proline,12.340021284021983,kidney
576,Exercise,3,proline,11.86672633191532,kidney
577,Exercise,5,proline,11.673827190999866,kidney
578,Sedentary,6,proline,12.135680887671668,kidney
579,Exercise,7,proline,12.766594625003025,kidney
580,Sedentary,8,proline,12.459126091394168,kidney
581,Exercise,9,proline,12.288935770689157,kidney
582,Sedentary,10,proline,12.850362575553012,kidney
583,Exercise,11,proline,12.692260430529027,kidney
584,Sedentary,12,proline,12.158019403762422,kidney
585,Exercise,13,proline,13.036695845073798,kidney
586,Exercise,15,proline,12.153534123304354,kidney
587,Sedentary,16,proline,11.64140425853904,kidney
588,Exercise,1,ADP,14.909326983018422,kidney
589,Sedentary,2,ADP,13.440700441369435,kidney
590,Exercise,3,ADP,13.05439445320125,kidney
591,Exercise,5,ADP,13.80865478548884,kidney
592,Sedentary,6,ADP,14.728654933652852,kidney
593,Exercise,7,ADP,15.046278195930093,kidney
594,Sedentary,8,ADP,13.992858280060775,kidney
595,Exercise,9,ADP,13.902042686545945,kidney
596,Sedentary,10,ADP,15.319872830365982,kidney
597,Exercise,11,ADP,15.454841985954202,kidney
598,Sedentary,12,ADP,14.041694483850002,kidney
599,Exercise,13,ADP,14.31203245293645,kidney
600,Exercise,15,ADP,14.394914549429268,kidney
601,Sedentary,16,ADP,14.42350084093622,kidney
602,Exercise,1,AMP,29.911637096466947,kidney
603,Sedentary,2,AMP,26.315473232679405,kidney
604,Exercise,3,AMP,25.877721954721654,kidney
605,Exercise,5,AMP,26.573193840537773,kidney
606,Sedentary,6,AMP,26.261744322002816,kidney
607,Exercise,7,AMP,30.861519792239584,kidney
608,Sedentary,8,AMP,27.002040374883396,kidney
609,Exercise,9,AMP,30.13897569788857,kidney
610,Sedentary,10,AMP,31.560204831360334,kidney
611,Exercise,11,AMP,29.66211364751528,kidney
612,Sedentary,12,AMP,29.82465191282717,kidney
613,Exercise,13,AMP,29.485011764736363,kidney
614,Exercise,15,AMP,32.571179713574026,kidney
615,Sedentary,16,AMP,32.484225344719036,kidney
658,Exercise,1,NADPH,7.242545209093973,kidney
659,Sedentary,2,NADPH,6.837061663118066,kidney
660,Exercise,3,NADPH,7.147979204481934,kidney
661,Exercise,5,NADPH,7.032708892832941,kidney
662,Sedentary,6,NADPH,6.882721528258304,kidney
663,Exercise,7,NADPH,7.534395038959669,kidney
664,Sedentary,8,NADPH,7.52128219072647,kidney
665,Exercise,9,NADPH,7.431017862035347,kidney
666,Sedentary,10,NADPH,7.204195700515813,kidney
667,Exercise,11,NADPH,7.76247100715585,kidney
668,Sedentary,12,NADPH,7.566451264197833,kidney
669,Exercise,13,NADPH,7.19240418228577,kidney
670,Exercise,15,NADPH,7.372594026731997,kidney
671,Sedentary,16,NADPH,7.25958645759654,kidney
672,Exercise,1,NADP,9.78109869959676,kidney
673,Sedentary,2,NADP,9.52178517934598,kidney
674,Exercise,3,NADP,9.48066921072807,kidney
675,Exercise,5,NADP,9.730176524127703,kidney
676,Sedentary,6,NADP,9.742543038321356,kidney
677,Exercise,7,NADP,9.910298968959061,kidney
678,Sedentary,8,NADP,9.572718049945891,kidney
679,Exercise,9,NADP,9.971506384739993,kidney
680,Sedentary,10,NADP,10.120960288757432,kidney
681,Exercise,11,NADP,10.130898559737894,kidney
682,Sedentary,12,NADP,9.734463697402159,kidney
683,Exercise,13,NADP,9.963632725787908,kidney
684,Exercise,15,NADP,9.885826742963872,kidney
685,Sedentary,16,NADP,10.043439856401672,kidney
686,Exercise,1,NAD,15.235280610868243,kidney
687,Sedentary,2,NAD,15.206689881744614,kidney
688,Exercise,3,NAD,14.226984839259426,kidney
689,Exercise,5,NAD,14.254139717524325,kidney
690,Sedentary,6,NAD,14.518698565072738,kidney
691,Exercise,7,NAD,15.33537458570408,kidney
692,Sedentary,8,NAD,14.528619898086099,kidney
693,Exercise,9,NAD,15.703400366505099,kidney
694,Sedentary,10,NAD,15.469353416810197,kidney
695,Exercise,11,NAD,15.450369288821515,kidney
696,Sedentary,12,NAD,14.06778468632167,kidney
697,Exercise,13,NAD,15.289857840244647,kidney
698,Exercise,15,NAD,16.09216168608614,kidney
699,Sedentary,16,NAD,15.68499221618008,kidney
700,Exercise,1,NADH,12.679588744885601,kidney
701,Sedentary,2,NADH,12.821030160165483,kidney
702,Exercise,3,NADH,12.996555019967083,kidney
703,Exercise,5,NADH,13.590944466243112,kidney
704,Sedentary,6,NADH,13.172351683661478,kidney
705,Exercise,7,NADH,13.025942153684408,kidney
706,Sedentary,8,NADH,11.808156729413794,kidney
707,Exercise,9,NADH,12.239246300644552,kidney
708,Sedentary,10,NADH,13.131689374123532,kidney
709,Exercise,11,NADH,13.388964390753785,kidney
710,Sedentary,12,NADH,11.787201338738425,kidney
711,Exercise,13,NADH,12.896830096417,kidney
712,Exercise,15,NADH,12.380970862245377,kidney
713,Sedentary,16,NADH,12.514185173646364,kidney
714,Exercise,1,ATP,10.006905071318139,kidney
715,Sedentary,2,ATP,10.087499568442528,kidney
716,Exercise,3,ATP,10.272979861830782,kidney
717,Exercise,5,ATP,10.475210587036807,kidney
718,Sedentary,6,ATP,10.252218450906549,kidney
719,Exercise,7,ATP,11.647325099507164,kidney
720,Sedentary,8,ATP,11.262216395792928,kidney
721,Exercise,9,ATP,10.568178448794313,kidney
722,Sedentary,10,ATP,11.632087284905895,kidney
723,Exercise,11,ATP,11.85250752742946,kidney
724,Sedentary,12,ATP,10.469267067690277,kidney
725,Exercise,13,ATP,11.846914006704225,kidney
726,Exercise,15,ATP,10.542612520106085,kidney
727,Sedentary,16,ATP,10.725365779247586,kidney
0,Exercise,1,glutamate,17.473225973648784,liver
1,Sedentary,2,glutamate,16.928461144673516,liver
2,Exercise,3,glutamate,19.01492681106786,liver
3,Exercise,5,glutamate,17.868320511334264,liver
4,Sedentary,6,glutamate,18.289393024622385,liver
5,Exercise,7,glutamate,18.323632383054274,liver
6,Sedentary,8,glutamate,20.14904974940394,liver
7,Exercise,9,glutamate,15.596056217406613,liver
8,Sedentary,10,glutamate,17.813943285948632,liver
9,Exercise,11,glutamate,18.284147821485824,liver
10,Sedentary,12,glutamate,19.025716434470567,liver
11,Exercise,13,glutamate,18.91890774402761,liver
12,Sedentary,14,glutamate,19.05257008240566,liver
13,Exercise,15,glutamate,18.166358515997242,liver
14,Sedentary,16,glutamate,17.49880887726372,liver
75,Exercise,1,phosphoenolpyruvate,8.034701859374485,liver
76,Sedentary,2,phosphoenolpyruvate,7.936850378594835,liver
77,Exercise,3,phosphoenolpyruvate,7.944862769893077,liver
78,Exercise,5,phosphoenolpyruvate,8.126754829393201,liver
79,Sedentary,6,phosphoenolpyruvate,8.231504914389875,liver
80,Exercise,7,phosphoenolpyruvate,8.22082166053343,liver
81,Sedentary,8,phosphoenolpyruvate,7.746556730458236,liver
82,Exercise,9,phosphoenolpyruvate,7.807831220816146,liver
83,Sedentary,10,phosphoenolpyruvate,8.023105282661447,liver
84,Exercise,11,phosphoenolpyruvate,7.9243037977017945,liver
85,Sedentary,12,phosphoenolpyruvate,7.966514370508467,liver
86,Exercise,13,phosphoenolpyruvate,7.809836508236501,liver
87,Sedentary,14,phosphoenolpyruvate,7.627697467968636,liver
88,Exercise,15,phosphoenolpyruvate,8.153508665062597,liver
89,Sedentary,16,phosphoenolpyruvate,8.108450737684022,liver
90,Exercise,1,pyruvate,11.517560583675854,liver
91,Sedentary,2,pyruvate,12.237486614101893,liver
92,Exercise,3,pyruvate,11.016603675493169,liver
93,Exercise,5,pyruvate,11.857775499232513,liver
94,Sedentary,6,pyruvate,12.238068359733226,liver
95,Exercise,7,pyruvate,11.884794395452937,liver
96,Sedentary,8,pyruvate,10.895818291116026,liver
97,Exercise,9,pyruvate,12.453540395857374,liver
98,Sedentary,10,pyruvate,11.908599593906272,liver
99,Exercise,11,pyruvate,11.07009190707683,liver
100,Sedentary,12,pyruvate,11.744230829398864,liver
101,Exercise,13,pyruvate,12.243564019493574,liver
102,Sedentary,14,pyruvate,11.867780090274072,liver
103,Exercise,15,pyruvate,12.47705970580685,liver
104,Sedentary,16,pyruvate,12.18865179336397,liver
105,Exercise,1,lactate,45.75042008183679,liver
106,Sedentary,2,lactate,42.701548733864485,liver
107,Exercise,3,lactate,33.31332710558146,liver
108,Exercise,5,lactate,40.42859622316876,liver
109,Sedentary,6,lactate,40.39671971024241,liver
110,Exercise,7,lactate,43.308787409462084,liver
111,Sedentary,8,lactate,29.280024393304227,liver
112,Exercise,9,lactate,40.214332561887595,liver
113,Sedentary,10,lactate,35.866953765584356,liver
114,Exercise,11,lactate,34.45581848605221,liver
115,Sedentary,12,lactate,34.778056615831574,liver
116,Exercise,13,lactate,32.28534775223494,liver
117,Sedentary,14,lactate,27.602142374337806,liver
118,Exercise,15,lactate,39.847268588515014,liver
119,Sedentary,16,lactate,38.21442152892281,liver
225,Exercise,1,succinate,28.977417995628308,liver
226,Sedentary,2,succinate,29.083100759343388,liver
227,Exercise,3,succinate,28.157309337320747,liver
228,Exercise,5,succinate,25.976352219352737,liver
229,Sedentary,6,succinate,26.451001177299688,liver
230,Exercise,7,succinate,27.448072094389325,liver
231,Sedentary,8,succinate,27.96093478180129,liver
232,Exercise,9,succinate,30.470626422718496,liver
233,Sedentary,10,succinate,27.623337677340444,liver
234,Exercise,11,succinate,27.70487885372867,liver
235,Sedentary,12,succinate,29.8643071629702,liver
236,Exercise,13,succinate,25.778690503334456,liver
237,Sedentary,14,succinate,28.006445997991968,liver
238,Exercise,15,succinate,29.96305242518746,liver
239,Sedentary,16,succinate,30.26893143822455,liver
240,Exercise,1,malate,23.087923577625784,liver
241,Sedentary,2,malate,20.886548829006415,liver
242,Exercise,3,malate,25.181034813728427,liver
243,Exercise,5,malate,24.29180989415045,liver
244,Sedentary,6,malate,25.499774058161222,liver
245,Exercise,7,malate,27.121084688667747,liver
246,Sedentary,8,malate,26.045915130994867,liver
247,Exercise,9,malate,18.99894416081858,liver
248,Sedentary,10,malate,24.518750710834144,liver
249,Exercise,11,malate,21.978486797221464,liver
250,Sedentary,12,malate,23.959104511070674,liver
251,Exercise,13,malate,27.751387655061787,liver
