,Sample,Compound,APE,Plasma_Glutamine_APE,Condition,FC_Gln_Substrate,Tissue
44,15,malate,0.0033616349749234714,0.09203006205264677,Sedentary,0.036527574793988646,heart
45,1,proline,0.001661888179942245,0.10346535695772785,Exercise,0.01606226691530414,heart
46,2,proline,0.0011882190088011765,0.07938803593591716,Sedentary,0.01496723019776329,heart
47,3,proline,0.0005995281622055638,0.1294206661597859,Exercise,0.00463239898228751,heart
48,4,proline,0.0009451014348584575,0.07726959114141162,Exercise,0.012231220858006363,heart
49,5,proline,0.00012874798630429122,0.06733278000347986,Sedentary,0.0019121145198169051,heart
50,6,proline,0.0013776376767930898,0.07230068379896054,Exercise,0.019054282814582397,heart
51,7,proline,0.001200752904407213,0.10979942568510855,Sedentary,0.010935876002219054,heart
52,8,proline,0.0006382483878907615,0.06888971763403963,Exercise,0.00926478449630619,heart
53,9,proline,0.0003618472615063728,0.07486253314563235,Sedentary,0.0048334894145574845,heart
54,10,proline,0.00084776051623678,0.06796373840095314,Exercise,0.012473718135329806,heart
55,11,proline,0.0014262199946829392,0.09491749002750353,Sedentary,0.015025892427935821,heart
56,12,proline,0.0008840461136347792,0.12044116634955242,Exercise,0.007340066029160174,heart
57,13,proline,0.0014903485431324386,0.11075127173367383,Sedentary,0.013456717198844583,heart
58,14,proline,0.0008095499940410009,0.09901828859596734,Exercise,0.008175762331585793,heart
59,15,proline,0.0008768673777596652,0.09203006205264677,Sedentary,0.009528053748980891,heart
60,1,succinate,0.0031943855429769517,0.10346535695772785,Exercise,0.030873962424756922,heart
61,2,succinate,0.0003792333555237826,0.07938803593591716,Sedentary,0.004776958531004643,heart
62,3,succinate,0.0007484123936814036,0.1294206661597859,Exercise,0.005782788915314309,heart
63,4,succinate,0.0008613607955831276,0.07726959114141162,Exercise,0.011147474483289878,heart
64,5,succinate,0.0012802030007293915,0.06733278000347986,Sedentary,0.019013072097472116,heart
65,6,succinate,0.0016953976653087777,0.07230068379896054,Exercise,0.023449261835794037,heart
66,7,succinate,0.0013193227244743286,0.10979942568510855,Sedentary,0.012015752507285296,heart
67,8,succinate,0.00032829296328936244,0.06888971763403963,Exercise,0.004765485685880458,heart
68,9,succinate,0.0007849332958974101,0.07486253314563235,Sedentary,0.010484995135957471,heart
69,10,succinate,0.001010806697510386,0.06796373840095314,Exercise,0.01487273539232224,heart
70,11,succinate,0.0008434528504023268,0.09491749002750353,Sedentary,0.008886168925852608,heart
71,12,succinate,0.002887976332484993,0.12044116634955242,Exercise,0.023978315886640577,heart
72,13,succinate,0.001057268435092526,0.11075127173367383,Sedentary,0.00954633223205747,heart
73,14,succinate,0.0007903139716382028,0.09901828859596734,Exercise,0.007981494962642582,heart
74,15,succinate,0.0005180816673868128,0.09203006205264677,Sedentary,0.00562948297362267,heart
0,1,a-ketoglutarate,0.15068718127785247,0.10346535695772785,Exercise,1.4564022752022951,kidney
