,Compound,13C#,1_quad,2_quad,3_quad,5_quad,6_quad,7_quad,8_quad,9_quad,10_quad,11_quad,12_quad,13_quad,14_quad,15_quad,16_quad
48,AMP,0,0.7394668222978533,0.8279825110990466,0.7960574991371222,0.7694143362964148,0.8154048116647644,0.9272728490736704,0.8592371520299147,0.8793249190143816,0.8708976614960909,0.8055261830445426,0.8401908153659271,0.9369562340224404,0.9169129884406387,0.9518548929048698,0.9053007195588855
49,AMP,1,0.0015208140857544887,0.0011760128460143334,0.0,0.0010504956845406375,0.0004039104350670048,0.00041930110624962055,0.0,7.159220359581065e-05,0.0005708277454439419,0.0,0.0008238984720702767,0.00040076899410293584,0.00039606104286162285,0.0,7.775714048830733e-05
50,AMP,2,0.003260678665113958,0.001355543904320666,0.003005477677541379,0.001567961629333198,0.003931827032903805,0.0046547600903327005,0.004526688025972535,0.0008057250583092668,0.0006718852541380405,0.0032996511509648108,0.00270242251745865,0.003980198535171209,0.0026993684465811806,0.00183891102158447,0.00243149684001536
51,AMP,3,0.0010167315203634785,0.0004862473894910434,0.0,0.0,0.0,0.0014787093894133704,0.0,0.00021957913096640354,0.0,0.0007124972462683791,7.071097870883161e-05,0.0008104272078281845,0.0,0.0,0.005190894446161718
52,AMP,4,0.0022122321810868835,0.0015400600829553253,0.004202092915377381,0.0046238020561334275,0.001561238296464455,0.00247471290441312,0.0042004492611534055,0.0013385905984824385,0.00028685492598086584,0.0018961165202494386,0.0009845100128955968,0.0017890692018903108,0.0016580015452197562,0.0022301117297161602,0.005110208511670105
53,AMP,5,0.0,0.0,0.0005555686509882639,0.0018459230477206102,0.00033006178554705295,0.00038371749225257686,0.00018408968839268378,0.0,0.00014945857418040902,0.0,0.0,0.0002989906130383105,0.0,0.00032501496797442147,0.0
54,AMP,6,0.0,7.454131831780727e-05,0.0018839740165077546,0.004934753540623395,0.00250016307741049,0.005855073937356671,0.0031225594528258216,0.0,0.0,0.00022409990285910623,0.0017684900165317646,0.0026911975470645232,0.0,0.0029976865857192624,0.0007984477481580359
55,AMP,7,0.24141776473424065,0.1561923990008954,0.17941804387045865,0.20087939029681443,0.1654232872844868,0.05415147538823464,0.11951704873282594,0.11321874994753152,0.11453763393756497,0.17318399042691401,0.14612660676342087,0.047083364273415244,0.066588653906818,0.03576421152306663,0.0742189370495241
56,AMP,8,0.01014622915269343,0.011111750120741741,0.010729128186941626,0.014306580358589742,0.009607800019277402,0.0030644207763690207,0.009212012808914847,0.004993434037524966,0.012791481291310393,0.012230579107022337,0.007030718211149563,0.005989749605048852,0.011247075567297775,0.003165706937527699,0.006746075444653858
57,AMP,9,0.0009587273628936557,0.0,0.0025599770189557733,0.00047826038120109217,0.0008369004040785616,0.00024497984170783916,0.0,0.0,0.0,0.002926882601179283,0.00029679702132878494,0.0,0.0004978510505828487,0.0010493595330058495,0.0
