,Mouse,peak_activity_m_day,avg_activity_m_day,first_wk__activity_m_day,second_wk__activity_m_day,last_wk__activity_m_day
0,1,1816.53170415869,795.3758616652494,897.7989629554849,1308.381785234244,250.70986493127776
1,3,15799.923968104844,8386.079464898294,7362.868123211503,12855.528187782984,4466.326877384922
2,5,11260.473380114967,6267.376812946722,5721.527782179198,10223.404922032145,2342.064504034399
3,7,4074.6959371884186,1949.3079760700089,3091.7993076282955,2813.053869856383,164.6212502439072
4,9,2699.218708852507,964.5694756169811,2056.382429683359,998.2976143459213,114.61966156937206
5,11,8464.430785678822,4603.74014005294,4020.93700370019,6825.609104356795,250.70986493127776
6,13,13389.731783382598,6537.779975826504,4661.791386703873,11771.472274777267,2814.457712973587
7,15,12832.777671383586,7402.170344905812,4323.712932478362,10857.652984484277,2800.584439815334
